,dest,src,time
1108,191.118.77.46,99.12.85.208,07:41:13
11080,17.229.56.231,35.203.159.210,06:12:05
11081,218.142.148.107,182.219.212.225,06:55:03
11082,114.9.1.134,26.255.112.210,05:18:40
11083,43.87.224.8,236.210.56.235,02:09:49
11084,124.125.173.62,164.53.121.199,08:52:16
11085,79.57.243.208,37.83.177.240,08:28:41
11086,71.52.82.215,41.24.214.78,23:20:10
11087,158.112.170.76,158.50.30.23,18:56:32
11088,156.109.67.140,49.243.212.180,03:15:54
11089,205.32.96.64,43.32.41.175,00:13:26
1109,138.141.176.98,85.77.76.157,13:28:59
11090,242.124.57.32,246.172.142.212,00:06:59
11091,93.140.219.75,204.5.139.148,03:41:49
11092,96.133.141.81,37.205.26.140,11:55:09
11093,57.117.95.27,147.135.18.144,11:20:53
11094,88.4.173.215,181.7.66.244,08:34:43
11095,199.215.200.119,141.152.79.104,07:33:27
11096,6.116.189.94,73.223.154.81,07:53:51
11097,154.82.158.223,253.183.204.174,05:20:38
11098,157.250.71.178,170.228.83.128,12:47:20
11099,122.227.180.88,169.197.168.128,16:13:57
111,204.39.203.120,164.30.213.84,13:41:51
1110,79.221.224.112,220.65.148.72,20:26:21
11100,245.13.152.16,170.34.231.247,04:44:11
11101,64.84.74.238,216.79.231.70,12:29:18
11102,173.184.242.186,180.45.214.8,10:22:10
11103,42.154.71.226,213.74.17.19,18:59:18
11104,111.140.82.142,211.69.119.250,00:42:20
11105,69.145.138.123,156.184.240.111,10:38:47
11106,35.210.103.254,255.185.129.139,11:41:34
11107,79.170.77.182,83.74.73.100,01:56:24
11108,231.100.65.139,188.187.207.204,09:30:28
11109,80.58.189.245,9.212.148.31,13:50:21
1111,43.48.168.9,236.140.107.166,02:22:26
11110,60.126.239.69,200.86.84.202,14:15:16
11111,158.146.10.148,210.181.52.122,17:10:16
11112,218.0.101.191,255.134.177.96,06:50:28
11113,49.5.184.13,222.189.63.79,03:06:12
11114,198.176.115.243,172.140.31.125,12:53:01
11115,218.118.182.212,137.175.62.144,03:21:56
11116,193.224.118.13,141.28.138.101,22:20:36
11117,81.70.224.115,31.9.51.94,01:08:40
11118,15.231.65.106,169.221.133.120,06:19:43
11119,105.46.47.161,133.220.214.101,06:25:07
1112,132.247.187.233,154.127.158.77,05:03:29
11120,32.229.182.240,3.109.115.11,02:12:25
11121,202.233.101.70,255.185.129.139,04:02:39
11122,23.162.171.52,27.196.73.41,00:23:06
11123,202.63.121.253,102.51.23.2,15:27:57
11124,62.0.12.57,4.20.18.26,02:47:40
11125,47.57.184.213,172.140.31.125,11:32:32
11126,36.40.134.201,27.89.148.144,06:07:19
11127,32.119.111.159,78.155.63.128,09:40:34
11128,210.148.143.40,133.97.221.57,07:42:37
11129,31.160.183.27,173.214.100.216,16:13:31
1113,236.223.231.151,161.86.116.156,18:27:33
11130,221.19.92.95,207.195.153.251,11:50:55
11131,254.172.189.124,124.75.181.140,19:33:58
11132,167.121.235.115,0.37.126.50,19:34:16
11133,8.213.50.190,195.195.112.78,00:14:42
11134,159.222.166.27,193.5.239.101,06:26:50
11135,231.100.65.139,86.126.12.164,02:55:11
11136,23.162.171.52,137.38.159.255,19:06:37
11137,240.187.3.198,222.205.58.44,23:51:41
11138,91.172.130.114,241.56.60.151,12:25:00
11139,50.217.176.20,199.246.145.76,12:42:21
1114,12.221.114.45,184.200.93.231,08:50:18
11140,16.90.149.221,226.32.95.95,14:13:19
11141,190.239.212.74,64.204.217.72,18:02:24
11142,141.95.224.49,196.193.204.40,09:10:35
11143,84.55.206.123,20.35.237.250,08:29:34
11144,10.147.171.149,204.185.200.53,06:11:46
11145,49.175.110.219,8.207.64.17,16:21:27
11146,217.122.199.100,184.142.154.39,03:18:14
11147,34.201.167.14,219.206.41.20,09:36:00
11148,24.26.190.157,25.6.85.196,15:13:53
11149,39.253.55.217,244.121.221.109,06:45:51
1115,67.152.61.253,140.136.179.166,06:45:37
11150,63.135.69.116,128.198.21.249,18:02:52
11151,113.84.93.68,184.97.137.173,18:20:11
11152,42.244.109.140,117.213.238.87,21:16:42
11153,38.149.111.228,216.29.35.182,08:38:12
11154,221.195.31.226,67.69.180.184,08:06:38
11155,46.20.21.166,237.95.90.5,15:19:02
11156,149.212.104.235,96.233.151.226,12:56:25
11157,213.225.195.3,217.160.199.123,17:07:40
11158,3.144.190.214,234.90.29.221,22:33:36
11159,12.65.245.188,54.71.241.110,16:36:27
1116,130.18.255.216,185.124.31.152,16:12:40
11160,236.67.214.2,115.174.95.122,04:02:44
11161,148.49.247.131,12.113.71.22,17:00:25
11162,95.216.39.185,171.59.21.182,18:21:46
11163,195.56.43.180,115.4.74.23,08:18:03
11164,255.196.240.137,43.118.58.85,15:40:01
11165,81.81.116.221,73.223.154.81,09:19:12
11166,192.159.185.3,183.147.9.168,04:01:39
11167,30.130.66.174,227.236.70.194,08:59:35
11168,205.32.96.64,219.112.14.120,07:33:18
11169,167.193.4.70,177.230.183.21,07:05:47
1117,16.123.144.36,160.6.48.18,11:12:18
11170,20.158.64.95,31.75.67.0,05:10:49
11171,121.108.76.209,160.63.231.212,14:54:06
11172,137.163.218.65,180.193.112.231,02:32:24
11173,221.159.137.73,242.9.31.185,12:43:43
11174,146.58.142.164,214.254.212.46,02:42:56
11175,84.185.9.62,200.194.162.31,19:30:34
11176,85.148.178.148,54.120.246.140,13:28:09
11177,160.114.113.57,179.91.71.40,13:23:03
11178,69.163.223.14,17.115.121.170,05:51:07
11179,82.161.13.81,118.116.200.6,11:54:57
1118,168.146.91.223,153.119.52.123,05:59:21
11180,0.93.226.183,245.68.131.20,05:04:17
11181,101.192.182.85,250.141.97.64,10:09:06
11182,124.226.47.121,101.209.174.248,17:11:42
11183,207.238.60.37,207.225.199.177,01:56:41
11184,30.144.79.63,98.219.242.166,15:49:29
11185,186.142.129.176,157.76.181.209,03:39:07
11186,14.15.82.200,119.29.90.52,16:51:14
11187,57.2.120.61,124.44.161.208,01:50:49
11188,129.181.105.83,75.211.113.36,15:35:49
11189,60.185.6.174,75.246.177.71,09:55:53
1119,125.47.54.248,152.212.66.132,08:25:21
11190,205.32.96.64,119.25.15.139,01:07:20
11191,130.26.73.9,68.171.225.242,10:12:21
11192,218.142.148.107,74.90.132.94,02:29:48
11193,80.205.239.17,146.229.195.87,18:04:51
11194,80.157.172.235,13.186.27.128,18:18:45
11195,57.51.250.136,70.162.5.43,15:58:12
11196,50.37.39.231,8.207.64.17,01:10:32
11197,84.146.254.14,190.202.235.125,08:03:59
11198,54.21.53.18,161.43.78.114,19:31:37
11199,97.206.148.205,106.121.36.151,08:40:16
112,66.143.37.148,196.3.101.17,16:00:41
1120,212.222.89.137,132.173.47.39,14:13:58
11200,14.102.63.152,10.12.18.237,01:04:35
11201,29.41.227.58,97.210.230.103,10:21:06
11202,28.166.153.128,1.215.235.42,14:49:43
11203,0.146.163.91,90.235.187.104,21:40:14
11204,71.10.254.68,239.43.255.205,00:27:58
11205,170.147.164.220,0.125.201.36,18:55:42
11206,108.161.18.27,216.99.20.104,20:51:51
11207,128.156.171.117,237.205.249.248,04:40:33
11208,44.109.44.100,16.127.1.196,19:54:59
11209,8.232.29.196,163.36.115.181,00:22:12
1121,134.231.80.249,21.253.130.67,15:28:51
11210,198.0.232.250,170.114.17.7,14:35:18
11211,216.186.4.215,207.129.129.24,11:04:42
11212,5.221.40.124,22.236.61.65,06:25:39
11213,138.22.166.192,50.61.226.45,15:59:35
11214,191.173.239.254,246.23.183.69,10:11:09
11215,195.145.204.240,142.154.54.103,19:12:06
11216,202.29.9.35,74.243.121.178,21:01:37
11217,253.38.86.5,237.242.77.104,04:42:05
11218,150.182.70.216,167.155.71.124,16:50:16
11219,92.72.19.81,133.220.214.101,12:20:38
1122,29.15.109.118,166.64.241.159,17:50:43
11220,82.64.234.51,167.94.146.163,07:23:41
11221,0.241.77.175,21.4.192.11,20:28:55
11222,203.209.10.123,34.92.178.107,14:19:31
11223,166.108.186.4,117.46.146.238,08:41:17
11224,231.100.65.139,211.14.248.39,01:43:22
11225,18.69.98.232,221.56.209.245,10:56:02
11226,12.191.196.207,213.61.52.50,19:16:33
11227,46.146.104.208,149.88.104.91,07:04:09
11228,59.98.159.220,120.137.172.159,00:02:56
11229,93.127.227.207,64.7.252.91,12:04:17
1123,0.56.87.236,93.213.93.103,07:06:48
11230,35.223.89.252,184.192.125.151,02:08:43
11231,15.92.128.208,57.138.112.25,18:25:36
11232,233.10.230.116,36.84.158.219,08:17:20
11233,103.37.66.218,129.22.17.233,06:53:31
11234,72.238.211.141,63.69.109.10,13:08:09
11235,71.115.248.228,152.36.228.124,02:30:49
11236,235.117.168.97,183.147.66.79,15:31:20
11237,172.46.148.119,89.232.134.186,04:30:14
11238,12.227.72.229,40.67.98.16,11:03:55
11239,154.229.44.255,170.228.83.128,02:32:03
1124,117.92.109.212,35.207.30.221,02:50:25
11240,73.250.117.250,246.213.110.127,00:33:10
11241,109.210.112.65,179.91.71.40,18:43:25
11242,174.21.102.60,184.223.67.229,01:28:44
11243,191.173.239.254,26.187.181.204,16:36:11
11244,159.222.166.27,82.21.240.29,22:54:14
11245,84.185.9.62,107.28.177.96,21:00:26
11246,17.113.137.62,182.48.120.129,00:03:21
11247,191.173.239.254,228.183.76.246,07:24:39
11248,217.171.161.11,186.68.50.149,16:20:03
11249,168.146.91.223,121.17.45.57,10:54:54
1125,21.120.140.97,146.25.21.235,14:48:41
11250,22.22.99.220,165.111.241.180,21:53:16
11251,188.29.49.92,36.146.230.66,09:09:23
11252,50.35.109.185,212.204.159.41,20:38:12
11253,123.156.25.171,213.213.116.182,09:15:35
11254,43.117.17.68,123.119.82.186,13:33:46
11255,92.210.201.97,21.104.220.138,17:21:07
11256,198.79.224.72,15.40.202.118,11:32:14
11257,1.213.139.122,47.78.131.235,10:30:06
11258,83.177.43.96,215.198.192.115,16:00:12
11259,154.228.199.78,188.82.107.55,11:50:09
1126,32.178.32.16,123.178.179.188,22:19:15
11260,88.90.186.214,133.56.65.117,16:51:10
11261,114.19.8.255,242.250.103.29,07:17:38
11262,174.5.90.84,90.37.110.210,00:30:10
11263,136.14.221.75,62.115.208.50,04:40:48
11264,251.6.23.94,130.147.166.44,23:34:04
11265,215.1.90.252,117.213.238.87,10:02:50
11266,210.74.55.184,10.140.186.145,22:36:03
11267,194.178.62.172,36.177.255.15,06:28:13
11268,42.45.86.106,13.98.218.229,23:14:59
11269,71.97.25.37,153.32.125.186,17:41:11
1127,241.129.83.238,1.164.200.227,12:07:37
11270,85.227.129.250,37.83.177.240,16:58:39
11271,241.72.174.235,115.153.46.52,03:11:19
11272,77.175.246.186,95.42.151.74,13:56:14
11273,101.163.215.69,70.12.162.153,10:03:25
11274,207.118.135.71,129.232.64.88,22:12:35
11275,111.93.24.31,144.40.26.211,16:45:59
11276,4.167.209.252,127.185.85.39,17:24:27
11277,48.151.83.254,55.136.92.232,02:58:36
11278,135.65.247.77,170.93.139.175,09:15:30
11279,157.164.31.168,109.172.110.225,10:19:25
1128,246.37.189.161,143.248.134.54,08:27:59
11280,49.144.1.155,73.89.243.66,14:39:22
11281,232.70.13.200,71.89.91.50,23:15:19
11282,31.151.210.113,23.7.36.122,18:26:01
11283,44.24.94.54,228.38.61.251,07:23:24
11284,29.15.33.87,200.60.110.238,10:48:49
11285,100.237.103.150,197.93.130.12,04:25:14
11286,30.89.122.143,37.83.177.240,05:00:40
11287,44.247.27.42,166.108.186.4,02:27:51
11288,84.146.254.14,125.41.50.6,13:25:26
11289,45.212.226.37,250.100.174.193,13:03:49
1129,64.171.179.221,143.15.45.82,22:43:01
11290,163.131.243.8,84.30.211.30,19:24:36
11291,117.104.229.217,90.247.103.110,00:03:01
11292,234.27.65.164,238.95.110.250,03:37:24
11293,113.107.135.91,155.246.233.120,00:52:34
11294,154.229.44.255,123.210.247.105,13:08:04
11295,53.189.82.38,16.182.0.238,14:37:16
11296,137.107.151.38,254.65.194.202,02:25:27
11297,221.19.92.95,89.232.134.186,20:10:13
11298,239.11.34.229,119.25.15.139,02:58:48
11299,202.233.101.70,204.79.204.195,04:17:58
113,45.240.76.78,118.201.247.190,16:20:45
1130,229.137.28.132,190.92.165.94,22:14:25
11300,215.11.174.108,183.189.45.30,20:54:58
11301,95.207.168.245,120.171.192.158,08:56:45
11302,220.239.126.209,182.48.120.129,20:05:15
11303,74.240.212.183,21.24.154.80,12:53:34
11304,88.90.186.214,15.98.141.197,05:51:11
11305,253.100.55.48,238.249.107.78,03:19:06
11306,45.231.237.172,191.250.215.187,14:39:43
11307,71.10.254.68,223.78.4.49,17:54:12
11308,154.229.44.255,123.122.18.88,08:26:07
11309,207.62.188.236,41.239.140.40,02:19:51
1131,107.215.29.241,74.18.69.35,01:27:24
11310,124.59.252.116,67.66.95.12,14:25:56
11311,176.91.8.89,161.0.141.40,07:01:30
11312,101.67.105.209,51.158.14.235,23:58:59
11313,134.231.80.249,37.83.177.240,14:13:12
11314,98.236.115.39,91.17.33.15,03:47:26
11315,91.172.130.114,188.233.56.131,09:47:13
11316,56.115.6.240,123.246.205.140,22:10:24
11317,144.13.139.131,49.8.235.63,10:40:36
11318,93.48.127.254,235.22.5.136,04:29:15
11319,105.69.103.130,35.203.66.50,22:14:40
1132,15.231.65.106,251.147.86.2,16:20:13
11320,150.224.198.137,110.23.193.140,15:39:46
11321,222.105.164.124,218.88.235.247,09:38:07
11322,155.121.22.118,19.172.220.62,10:31:33
11323,205.32.96.64,99.145.23.109,09:08:09
11324,246.37.189.161,208.24.233.182,05:33:43
11325,144.67.199.214,4.152.22.22,18:59:43
11326,154.229.44.255,201.98.144.63,11:41:20
11327,93.21.79.95,241.168.170.70,18:05:34
11328,234.27.65.164,177.110.131.62,10:50:26
11329,71.152.225.117,237.67.21.73,18:56:19
1133,114.101.75.125,171.41.199.78,09:04:38
11330,213.107.103.142,106.159.242.9,11:41:52
11331,167.33.152.8,177.199.32.223,22:37:02
11332,67.59.212.14,231.116.52.223,12:21:42
11333,241.165.173.166,207.147.10.100,00:52:03
11334,128.145.220.50,140.149.172.215,09:23:54
11335,240.148.182.96,200.43.46.209,15:19:45
11336,124.121.52.119,66.176.49.59,22:19:13
11337,113.16.138.12,42.26.149.45,17:56:47
11338,93.98.199.111,11.87.111.85,17:55:56
11339,162.204.6.49,73.223.154.81,23:24:59
1134,173.102.24.98,118.169.105.162,15:09:58
11340,162.35.42.227,21.43.173.132,11:53:36
11341,228.167.191.161,183.49.75.131,05:46:17
11342,49.130.121.251,55.78.33.166,05:39:49
11343,146.180.5.3,109.29.119.110,13:46:54
11344,11.140.250.75,222.213.182.4,17:59:50
11345,59.26.150.123,237.196.80.237,16:50:46
11346,238.215.27.29,39.85.141.92,17:03:57
11347,98.161.34.24,104.233.165.49,11:22:13
11348,251.74.156.180,46.122.158.247,12:01:06
11349,48.151.83.254,82.21.240.29,09:32:21
1135,160.235.56.145,101.220.94.240,11:13:35
11350,222.152.80.31,242.25.99.4,05:12:19
11351,15.231.65.106,179.91.71.40,17:37:20
11352,100.236.190.187,103.202.108.132,05:04:25
11353,202.63.121.253,146.197.161.96,01:49:08
11354,117.56.155.189,152.80.245.104,15:03:56
11355,219.198.128.53,170.228.83.128,08:25:03
11356,164.192.72.125,83.130.154.120,09:11:54
11357,231.100.65.139,152.25.13.111,08:21:01
11358,104.163.165.186,212.199.110.223,11:57:40
11359,186.131.251.57,135.121.161.178,06:25:15
1136,181.132.221.56,31.18.129.203,19:55:50
11360,15.207.142.79,98.69.51.26,07:33:48
11361,104.141.190.117,98.219.242.166,20:00:20
11362,39.16.168.23,230.68.133.168,23:24:46
11363,150.241.7.195,38.189.141.87,22:22:37
11364,155.246.130.208,85.47.115.159,22:02:04
11365,180.250.84.100,198.158.85.223,21:08:44
11366,195.75.131.173,163.85.109.220,03:09:19
11367,54.139.52.21,36.116.14.100,18:53:50
11368,23.162.171.52,28.30.191.164,00:27:42
11369,74.105.141.87,63.242.130.17,17:33:39
1137,208.134.122.135,152.199.15.56,15:45:49
11370,37.33.33.140,15.226.230.1,23:00:37
11371,149.187.32.210,92.131.43.59,09:30:15
11372,170.152.156.14,45.167.157.192,05:26:19
11373,197.25.9.250,190.236.219.44,23:05:40
11374,84.146.254.14,243.206.147.117,05:28:42
11375,174.158.165.8,98.219.242.166,17:42:28
11376,128.253.204.30,52.55.4.216,14:14:24
11377,4.167.209.252,40.109.75.21,17:21:40
11378,240.2.202.25,166.232.40.59,01:53:26
11379,43.231.140.212,202.189.69.167,04:45:00
1138,70.109.53.248,187.14.13.150,19:53:45
11380,47.73.251.86,201.35.176.209,00:52:20
11381,68.228.218.179,172.93.22.180,22:16:37
11382,56.236.139.97,127.108.70.164,05:19:17
11383,105.69.103.130,180.22.95.78,23:37:56
11384,38.73.52.140,126.132.119.197,17:29:22
11385,13.83.241.184,224.231.242.238,14:42:37
11386,67.185.180.74,164.165.82.15,17:34:06
11387,114.9.1.134,119.225.162.151,07:51:22
11388,219.251.193.55,211.133.178.104,10:37:20
11389,90.157.73.183,196.163.195.68,21:21:49
1139,5.69.189.44,254.3.87.223,13:11:05
11390,144.28.246.154,212.204.159.41,12:00:18
11391,16.252.96.110,7.127.92.195,18:12:41
11392,161.27.164.145,110.76.51.211,20:45:18
11393,202.233.101.70,225.117.198.184,09:35:15
11394,211.179.225.171,80.13.159.236,22:31:58
11395,61.161.137.148,100.38.229.85,04:04:12
11396,171.205.219.40,3.158.157.134,07:59:33
11397,125.33.192.244,7.127.92.195,09:44:13
11398,247.237.215.128,230.134.157.81,14:00:21
11399,65.55.229.240,74.28.226.58,14:37:27
114,81.70.224.115,117.46.146.238,10:01:52
1140,42.188.205.167,117.213.238.87,21:34:33
11400,17.229.56.231,21.159.172.78,10:21:15
11401,159.172.229.48,70.162.5.43,13:07:13
11402,251.128.213.241,69.37.218.175,03:12:58
11403,248.218.109.26,19.97.26.65,04:50:35
11404,66.199.205.167,221.155.10.69,20:33:07
11405,191.44.202.15,74.43.244.164,10:05:24
11406,105.69.103.130,0.50.236.254,01:09:52
11407,57.54.144.185,17.86.103.182,06:37:46
11408,175.164.194.143,58.183.69.69,14:03:08
11409,33.17.65.30,50.176.210.183,05:33:04
1141,161.71.177.94,7.127.92.195,23:52:51
11410,119.231.25.71,104.233.165.49,04:08:59
11411,79.57.243.208,250.133.219.46,19:06:08
11412,210.205.19.185,251.74.156.180,11:22:24
11413,150.193.7.33,185.11.95.115,04:15:29
11414,45.134.239.85,160.99.23.177,12:09:49
11415,115.150.181.226,34.144.83.178,07:51:47
11416,81.148.86.233,164.85.32.255,13:24:20
11417,91.84.44.124,25.17.36.79,02:22:21
11418,191.173.239.254,222.38.83.228,10:24:26
11419,82.229.172.24,113.17.199.250,07:22:20
1142,207.59.206.96,9.30.49.13,16:31:43
11420,203.231.35.52,248.39.81.146,19:26:23
11421,44.11.188.84,229.9.254.252,22:59:22
11422,57.2.120.61,214.190.231.220,13:50:48
11423,218.76.148.217,47.233.54.120,05:43:41
11424,84.185.9.62,5.236.43.26,22:17:17
11425,236.223.231.151,194.15.103.193,10:45:22
11426,111.140.219.122,166.56.238.117,05:14:01
11427,191.173.239.254,183.218.127.207,11:01:31
11428,214.108.95.184,2.34.213.95,10:41:36
11429,235.123.135.11,18.74.225.252,14:26:06
1143,222.55.193.139,7.18.19.228,16:32:42
11430,95.68.81.245,27.149.0.165,22:52:59
11431,80.58.189.245,74.50.244.10,15:19:41
11432,95.141.82.229,77.60.238.174,18:00:11
11433,73.139.168.65,15.120.79.30,13:17:32
11434,255.196.240.137,171.46.131.130,06:01:49
11435,246.97.0.242,73.223.154.81,17:37:08
11436,142.178.224.93,132.46.98.105,08:58:09
11437,45.240.76.78,204.185.200.53,03:38:05
11438,101.192.182.85,115.174.95.122,14:09:13
11439,160.40.119.5,117.46.146.238,10:51:52
1144,124.12.64.95,22.40.121.112,08:28:12
11440,136.134.237.240,233.229.79.141,03:08:16
11441,92.196.187.103,73.223.154.81,15:54:24
11442,19.20.77.205,115.134.244.119,12:48:00
11443,156.188.185.71,100.253.44.0,12:56:45
11444,98.199.95.26,190.132.142.113,00:23:53
11445,189.152.5.25,70.162.5.43,11:21:55
11446,107.44.20.225,37.83.177.240,06:16:42
11447,196.144.226.65,73.223.154.81,19:38:24
11448,165.106.110.97,102.241.232.83,20:41:36
11449,39.16.168.23,183.189.45.30,14:21:28
1145,15.235.250.2,119.29.90.52,12:01:18
11450,40.113.9.169,167.242.38.8,14:54:30
11451,169.129.184.124,117.46.146.238,09:23:08
11452,93.53.81.248,243.76.183.14,18:37:06
11453,209.160.211.251,241.183.127.207,08:22:25
11454,243.124.76.147,0.206.136.97,04:26:21
11455,51.247.201.64,187.26.9.97,07:24:28
11456,246.37.189.161,20.239.83.234,12:10:44
11457,230.207.204.209,175.94.93.64,23:35:19
11458,64.24.234.239,142.210.76.210,18:21:10
11459,17.229.56.231,130.90.154.221,03:03:37
1146,174.141.116.166,170.42.81.59,04:03:16
11460,70.96.223.111,255.185.129.139,23:33:17
11461,90.175.66.176,68.72.174.221,01:39:18
11462,92.99.155.181,87.13.109.50,22:45:02
11463,37.79.205.205,144.37.161.83,00:59:42
11464,205.32.96.64,200.165.41.154,16:11:43
11465,58.134.122.234,78.155.63.128,12:39:57
11466,233.131.31.9,75.41.74.213,11:15:46
11467,185.246.242.172,28.252.29.70,02:41:54
11468,48.232.161.132,104.4.222.147,17:22:53
11469,69.236.24.59,232.184.78.99,07:10:44
1147,196.108.179.92,97.81.161.233,16:32:24
11470,57.2.120.61,51.230.27.69,06:11:47
11471,219.165.233.146,154.127.158.77,16:20:21
11472,218.210.90.141,145.176.93.112,09:30:30
11473,107.89.22.194,128.217.210.155,01:12:37
11474,150.198.88.89,114.86.106.93,23:25:28
11475,212.222.89.137,67.81.19.97,00:55:08
11476,18.63.189.89,254.65.194.202,08:26:30
11477,8.226.165.82,205.51.127.80,17:52:59
11478,220.98.117.107,124.125.173.62,07:51:35
11479,156.184.240.111,49.15.37.198,05:21:50
1148,141.207.162.22,136.11.45.133,05:58:35
11480,196.91.213.221,84.89.185.14,06:27:15
11481,143.46.152.70,113.53.186.155,00:31:07
11482,93.127.227.207,132.236.3.210,12:47:17
11483,194.210.57.167,100.247.51.190,14:54:37
11484,91.172.130.114,78.76.204.229,09:44:01
11485,97.203.119.61,83.192.1.164,10:20:54
11486,46.81.190.41,73.117.82.201,21:49:48
11487,244.217.57.67,204.170.222.210,23:03:11
11488,99.217.18.233,113.152.185.129,16:48:44
11489,196.85.15.218,241.221.133.82,22:15:59
1149,17.229.56.231,190.92.165.94,23:10:01
11490,250.9.42.157,19.197.223.164,10:23:22
11491,15.15.191.27,62.154.45.17,23:12:29
11492,221.117.45.98,73.223.154.81,05:55:44
11493,52.130.100.21,95.209.153.37,02:50:45
11494,71.10.254.68,132.69.148.187,21:12:00
11495,214.220.26.34,204.155.232.245,19:18:34
11496,80.0.43.154,237.237.213.242,03:45:27
11497,124.59.252.116,92.38.179.146,06:35:33
11498,4.167.209.252,68.195.47.251,22:53:55
11499,3.84.137.134,97.174.10.195,17:06:53
115,231.211.40.57,117.121.81.221,10:18:31
1150,24.43.57.237,124.191.5.237,05:26:30
11500,254.94.160.82,146.182.240.106,03:23:25
11501,172.93.22.180,211.176.115.21,03:03:45
11502,120.179.186.51,128.37.157.212,11:52:04
11503,65.52.23.50,73.72.31.48,03:18:01
11504,128.253.204.30,46.227.183.174,16:55:18
11505,26.48.115.10,255.185.129.139,17:43:02
11506,237.15.89.162,138.137.69.43,04:58:19
11507,88.231.138.9,224.126.164.179,03:34:48
11508,65.93.56.17,148.81.37.187,19:15:52
11509,200.167.191.153,64.215.92.128,01:37:24
1151,216.83.225.36,141.109.236.38,18:11:24
11510,8.92.30.183,210.20.180.162,08:46:49
11511,154.127.158.77,134.44.201.247,19:22:53
11512,45.240.76.78,223.48.14.192,14:02:34
11513,17.132.165.241,140.22.168.211,02:09:40
11514,178.202.18.195,120.198.103.152,21:04:46
11515,172.215.76.115,254.65.194.202,13:42:03
11516,117.42.0.154,197.224.102.178,16:50:03
11517,6.212.153.181,142.59.210.249,02:24:49
11518,195.165.149.228,30.43.72.221,07:01:23
11519,112.27.184.22,101.59.193.2,10:18:17
1152,115.238.95.22,222.38.83.228,16:51:39
11520,253.129.62.181,246.245.124.8,07:00:04
11521,0.136.176.148,208.28.216.39,09:46:50
11522,190.169.242.216,255.185.129.139,01:40:29
11523,164.154.219.62,152.249.133.254,16:33:32
11524,129.20.20.158,190.111.163.28,02:33:05
11525,186.135.150.53,56.16.29.245,16:51:05
11526,137.41.201.143,202.107.18.131,06:55:42
11527,6.207.112.118,61.110.138.255,00:52:40
11528,89.143.197.205,189.179.198.51,00:21:17
11529,89.143.197.205,28.48.235.27,21:53:28
1153,48.5.2.66,35.61.170.156,04:15:06
11530,138.75.179.194,208.58.135.45,16:16:31
11531,151.25.246.45,207.198.205.62,03:19:35
11532,178.189.139.114,118.143.249.223,04:51:27
11533,222.105.164.124,54.254.192.115,01:12:22
11534,66.84.50.158,201.107.239.120,04:31:36
11535,57.18.87.89,130.64.210.49,15:42:18
11536,106.213.84.23,45.13.196.231,16:37:56
11537,172.40.46.13,78.141.244.178,09:13:42
11538,129.248.134.152,57.15.185.146,16:29:00
11539,205.32.96.64,19.54.27.250,18:44:14
1154,85.246.177.6,67.98.21.37,13:25:22
11540,120.103.52.9,221.61.115.23,03:36:17
11541,208.222.26.67,231.177.148.105,20:44:16
11542,52.82.56.12,43.229.69.83,01:01:01
11543,220.198.190.123,139.217.145.11,16:53:51
11544,129.181.105.83,55.216.208.197,13:04:19
11545,143.233.234.229,152.80.245.104,07:05:11
11546,77.130.28.8,224.166.75.236,03:08:37
11547,246.31.112.107,44.100.99.42,13:22:48
11548,80.159.75.186,63.195.39.207,02:14:55
11549,149.148.135.183,213.14.107.53,09:18:44
1155,95.118.163.190,42.89.161.72,10:41:37
11550,166.35.18.237,180.125.192.109,07:14:45
11551,7.254.54.181,83.214.194.156,17:02:28
11552,140.36.247.209,242.112.106.101,04:24:02
11553,241.104.114.199,83.62.202.219,13:49:09
11554,45.240.76.78,73.11.37.165,21:14:33
11555,191.173.239.254,163.36.115.181,13:12:24
11556,130.199.85.165,167.68.210.191,05:36:36
11557,174.61.209.52,132.150.27.8,22:44:09
11558,175.95.143.166,207.64.110.231,03:52:28
11559,77.41.36.24,142.35.1.145,23:19:21
1156,35.82.216.74,33.110.141.87,22:25:42
11560,99.75.238.201,70.162.5.43,03:57:47
11561,176.196.19.96,47.207.22.161,18:55:52
11562,16.87.62.146,97.187.91.246,10:33:14
11563,237.16.249.188,137.31.214.95,23:55:55
11564,71.10.254.68,75.181.78.94,20:41:28
11565,154.54.184.158,186.93.216.191,01:11:19
11566,45.134.239.85,24.209.48.158,03:51:57
11567,72.181.231.249,110.209.220.202,19:58:25
11568,84.146.254.14,250.137.222.207,20:19:27
11569,104.224.231.189,172.215.235.103,00:03:38
1157,124.78.198.148,132.99.6.255,06:50:47
11570,26.81.65.143,75.122.229.97,00:23:23
11571,77.41.36.24,117.46.146.238,09:01:51
11572,137.221.179.77,149.88.104.91,15:41:33
11573,143.235.87.37,239.66.27.203,04:51:20
11574,228.248.207.21,88.88.17.125,14:15:29
11575,50.236.67.200,53.3.27.59,07:19:58
11576,205.247.255.98,91.17.33.15,01:27:27
11577,84.146.254.14,81.252.198.103,11:35:19
11578,45.240.76.78,242.85.47.153,05:49:26
11579,27.253.166.24,236.14.18.160,03:12:14
1158,20.158.64.95,233.145.199.95,08:46:06
11580,198.170.102.195,65.188.107.79,00:25:30
11581,32.152.130.54,22.182.99.79,00:35:01
11582,107.65.57.81,217.69.209.221,04:08:33
